municipality_id,standard_name,variant_1,variant_2,variant_3,variant_4
1,東京都千代田区,千代田区,ちよだ区,チヨダ区,千代田
2,東京都中央区,中央区,ちゅうおう区,チュウオウ区,中央
3,東京都港区,港区,みなと区,ミナト区,港
4,東京都新宿区,新宿区,しんじゅく区,シンジュク区,新宿
5,東京都文京区,文京区,ぶんきょう区,ブンキョウ区,文京
6,東京都台東区,台東区,たいとう区,タイトウ区,台東
7,東京都墨田区,墨田区,すみだ区,スミダ区,墨田
8,東京都江東区,江東区,こうとう区,コウトウ区,江東
9,東京都品川区,品川区,しながわ区,シナガワ区,品川
10,東京都目黒区,目黒区,めぐろ区,メグロ区,目黒
11,東京都大田区,大田区,おおた区,オオタ区,大田
12,東京都世田谷区,世田谷区,せたがや区,セタガヤ区,世田谷
13,東京都渋谷区,渋谷区,しぶや区,シブヤ区,渋谷
14,東京都中野区,中野区,なかの区,ナカノ区,中野
15,東京都杉並区,杉並区,すぎなみ区,スギナミ区,杉並
16,大阪府大阪市,大阪市,おおさか市,オオサカ市,大阪
17,大阪府堺市,堺市,さかい市,サカイ市,堺
18,愛知県名古屋市,名古屋市,なごや市,ナゴヤ市,名古屋
19,福岡県福岡市,福岡市,ふくおか市,フクオカ市,福岡
20,神奈川県横浜市,横浜市,よこはま市,ヨコハマ市,横浜
21,北海道札幌市,札幌市,さっぽろ市,サッポロ市,札幌
22,宮城県仙台市,仙台市,せんだい市,センダイ市,仙台
23,広島県広島市,広島市,ひろしま市,ヒロシマ市,広島
24,京都府京都市,京都市,きょうと市,キョウト市,京都
25,兵庫県神戸市,神戸市,こうべ市,コウベ市,神戸 